transaction_id,customer_id,sale_date,sale_time,day_of_week,day_name,is_weekend,coffee_name,drink_price,total_cost,payment_method,datetime,time_of_day
TX_0125,CUST_6596,2025-07-01,08:24:55,2,Tuesday,False,Cappuccino,320.0,640.0,card,2025-07-01 08:24:55,Morning
TX_0125,CUST_6596,2025-07-01,08:24:55,2,Tuesday,False,Cappuccino,320.0,640.0,card,2025-07-01 08:24:55,Morning
TX_1977,CUST_4044,2025-07-01,08:42:32,2,Tuesday,False,Latte,340.0,340.0,card,2025-07-01 08:42:32,Morning
TX_3011,CUST_2256,2025-07-01,08:43:55,2,Tuesday,False,Latte with add,440.0,440.0,cash,2025-07-01 08:43:55,Morning
TX_3392,CUST_6082,2025-07-01,08:44:55,2,Tuesday,False,Latte with add,440.0,760.0,card,2025-07-01 08:44:55,Morning
TX_3392,CUST_6082,2025-07-01,08:44:55,2,Tuesday,False,Cappuccino,320.0,760.0,card,2025-07-01 08:44:55,Morning
TX_3039,CUST_4189,2025-07-01,08:48:38,2,Tuesday,False,Cappuccino,320.0,720.0,card,2025-07-01 08:48:38,Morning
TX_3039,CUST_4189,2025-07-01,08:48:38,2,Tuesday,False,Warming drinks (tea),400.0,720.0,card,2025-07-01 08:48:38,Morning
TX_2275,CUST_4014,2025-07-01,08:58:07,2,Tuesday,False,Latte,340.0,760.0,card,2025-07-01 08:58:07,Morning
TX_2275,CUST_4014,2025-07-01,08:58:07,2,Tuesday,False,Raf coffee,420.0,760.0,card,2025-07-01 08:58:07,Morning
TX_0632,CUST_1235,2025-07-01,09:10:25,2,Tuesday,False,Cappuccino,320.0,880.0,card,2025-07-01 09:10:25,Morning
TX_0632,CUST_1235,2025-07-01,09:10:25,2,Tuesday,False,Cappuccino,320.0,880.0,card,2025-07-01 09:10:25,Morning
TX_0632,CUST_1235,2025-07-01,09:10:25,2,Tuesday,False,Batch brew,240.0,880.0,card,2025-07-01 09:10:25,Morning
TX_3020,CUST_7834,2025-07-01,09:20:28,2,Tuesday,False,Latte,340.0,340.0,cash,2025-07-01 09:20:28,Morning
TX_0786,CUST_5841,2025-07-01,09:26:58,2,Tuesday,False,Batch brew,240.0,240.0,card,2025-07-01 09:26:58,Morning
TX_2877,CUST_1656,2025-07-01,09:30:59,2,Tuesday,False,Batch brew,240.0,240.0,cash,2025-07-01 09:30:59,Morning
TX_0077,CUST_3984,2025-07-01,09:40:04,2,Tuesday,False,Espresso,230.0,1010.0,cash,2025-07-01 09:40:04,Morning
TX_0077,CUST_3984,2025-07-01,09:40:04,2,Tuesday,False,Latte with add,440.0,1010.0,cash,2025-07-01 09:40:04,Morning
TX_0077,CUST_3984,2025-07-01,09:40:04,2,Tuesday,False,Flat white,340.0,1010.0,cash,2025-07-01 09:40:04,Morning
TX_2734,CUST_3436,2025-07-01,09:44:44,2,Tuesday,False,Warming drinks (tea),400.0,400.0,card,2025-07-01 09:44:44,Morning
TX_0724,CUST_8489,2025-07-01,09:57:09,2,Tuesday,False,Latte,340.0,340.0,card,2025-07-01 09:57:09,Morning
TX_2072,CUST_4891,2025-07-01,09:59:54,2,Tuesday,False,Latte with add,440.0,440.0,cash,2025-07-01 09:59:54,Morning
TX_0829,CUST_8707,2025-07-01,10:01:23,2,Tuesday,False,Latte with add,440.0,440.0,cash,2025-07-01 10:01:23,Morning
TX_2673,CUST_8899,2025-07-01,10:01:39,2,Tuesday,False,Espresso,230.0,670.0,card,2025-07-01 10:01:39,Morning
TX_2673,CUST_8899,2025-07-01,10:01:39,2,Tuesday,False,Latte with add,440.0,670.0,card,2025-07-01 10:01:39,Morning
TX_1860,CUST_4851,2025-07-01,10:02:50,2,Tuesday,False,Latte with add,440.0,440.0,card,2025-07-01 10:02:50,Morning
TX_1424,CUST_9923,2025-07-01,10:04:08,2,Tuesday,False,Cappuccino,320.0,760.0,card,2025-07-01 10:04:08,Morning
TX_1424,CUST_9923,2025-07-01,10:04:08,2,Tuesday,False,Latte with add,440.0,760.0,card,2025-07-01 10:04:08,Morning
TX_2133,CUST_2342,2025-07-01,10:04:22,2,Tuesday,False,Batch brew,240.0,240.0,cash,2025-07-01 10:04:22,Morning
TX_1950,CUST_7965,2025-07-01,10:07:36,2,Tuesday,False,Cappuccino,320.0,320.0,cash,2025-07-01 10:07:36,Morning
TX_2333,CUST_3474,2025-07-01,10:22:31,2,Tuesday,False,Cappuccino,320.0,320.0,card,2025-07-01 10:22:31,Morning
TX_1785,CUST_2869,2025-07-01,10:23:38,2,Tuesday,False,Cappuccino,320.0,320.0,card,2025-07-01 10:23:38,Morning
TX_1999,CUST_2936,2025-07-01,10:34:32,2,Tuesday,False,Cappuccino,320.0,320.0,cash,2025-07-01 10:34:32,Morning
TX_0594,CUST_1755,2025-07-01,11:00:20,2,Tuesday,False,Flat white,340.0,660.0,card,2025-07-01 11:00:20,Afternoon
TX_0594,CUST_1755,2025-07-01,11:00:20,2,Tuesday,False,Cappuccino,320.0,660.0,card,2025-07-01 11:00:20,Afternoon
TX_0764,CUST_2124,2025-07-01,11:00:25,2,Tuesday,False,Warming drinks (tea),400.0,400.0,cash,2025-07-01 11:00:25,Afternoon
TX_1873,CUST_5624,2025-07-01,11:00:29,2,Tuesday,False,Latte,340.0,340.0,cash,2025-07-01 11:00:29,Afternoon
TX_3160,CUST_1232,2025-07-01,12:11:22,2,Tuesday,False,Latte,340.0,580.0,card,2025-07-01 12:11:22,Afternoon
TX_3160,CUST_1232,2025-07-01,12:11:22,2,Tuesday,False,Batch brew,240.0,580.0,card,2025-07-01 12:11:22,Afternoon
TX_3075,CUST_8616,2025-07-01,12:23:40,2,Tuesday,False,Latte,340.0,340.0,cash,2025-07-01 12:23:40,Afternoon
TX_2502,CUST_1923,2025-07-01,12:29:46,2,Tuesday,False,Cappuccino,320.0,320.0,cash,2025-07-01 12:29:46,Afternoon
TX_0312,CUST_6563,2025-07-01,12:38:54,2,Tuesday,False,Batch brew,240.0,240.0,card,2025-07-01 12:38:54,Afternoon
TX_0475,CUST_5602,2025-07-01,12:41:48,2,Tuesday,False,Warming drinks (tea),400.0,400.0,card,2025-07-01 12:41:48,Afternoon
TX_0537,CUST_4444,2025-07-01,12:52:31,2,Tuesday,False,Batch brew,240.0,240.0,card,2025-07-01 12:52:31,Afternoon
TX_0320,CUST_9846,2025-07-01,12:57:22,2,Tuesday,False,Latte,340.0,340.0,cash,2025-07-01 12:57:22,Afternoon
TX_0046,CUST_9336,2025-07-01,13:02:31,2,Tuesday,False,Batch brew,240.0,240.0,card,2025-07-01 13:02:31,Afternoon
TX_0974,CUST_9543,2025-07-01,13:05:20,2,Tuesday,False,Raf coffee,420.0,660.0,card,2025-07-01 13:05:20,Afternoon
TX_0974,CUST_9543,2025-07-01,13:05:20,2,Tuesday,False,Batch brew,240.0,660.0,card,2025-07-01 13:05:20,Afternoon
TX_3124,CUST_8668,2025-07-01,13:20:49,2,Tuesday,False,Raf coffee,420.0,420.0,card,2025-07-01 13:20:49,Afternoon
TX_0559,CUST_4468,2025-07-01,13:56:00,2,Tuesday,False,Batch brew,240.0,240.0,cash,2025-07-01 13:56:00,Afternoon
TX_0205,CUST_7379,2025-07-01,13:58:56,2,Tuesday,False,Cappuccino,320.0,320.0,card,2025-07-01 13:58:56,Afternoon
TX_0835,CUST_9551,2025-07-01,14:10:15,2,Tuesday,False,Flat white,340.0,340.0,card,2025-07-01 14:10:15,Afternoon
TX_3487,CUST_4126,2025-07-01,14:35:33,2,Tuesday,False,Raf coffee,420.0,420.0,card,2025-07-01 14:35:33,Afternoon
TX_0047,CUST_7859,2025-07-01,18:18:21,2,Tuesday,False,Cappuccino,320.0,760.0,card,2025-07-01 18:18:21,Evening
TX_0047,CUST_7859,2025-07-01,18:18:21,2,Tuesday,False,Latte with add,440.0,760.0,card,2025-07-01 18:18:21,Evening
TX_0973,CUST_8497,2025-07-02,08:16:37,3,Wednesday,False,Batch brew,240.0,240.0,card,2025-07-02 08:16:37,Morning
TX_0134,CUST_7865,2025-07-02,08:29:54,3,Wednesday,False,Batch brew,240.0,240.0,card,2025-07-02 08:29:54,Morning
TX_0752,CUST_8607,2025-07-02,08:30:27,3,Wednesday,False,Raf coffee,420.0,420.0,card,2025-07-02 08:30:27,Morning
TX_0038,CUST_7464,2025-07-02,09:37:39,3,Wednesday,False,Batch brew,240.0,240.0,card,2025-07-02 09:37:39,Morning
TX_1750,CUST_8788,2025-07-02,09:53:39,3,Wednesday,False,Batch brew,240.0,580.0,card,2025-07-02 09:53:39,Morning
TX_1750,CUST_8788,2025-07-02,09:53:39,3,Wednesday,False,Flat white,340.0,580.0,card,2025-07-02 09:53:39,Morning
TX_1878,CUST_8654,2025-07-02,10:14:09,3,Wednesday,False,Batch brew,240.0,240.0,card,2025-07-02 10:14:09,Morning
TX_2146,CUST_7331,2025-07-02,10:22:58,3,Wednesday,False,Espresso,230.0,870.0,card,2025-07-02 10:22:58,Morning
TX_2146,CUST_7331,2025-07-02,10:22:58,3,Wednesday,False,Batch brew,240.0,870.0,card,2025-07-02 10:22:58,Morning
TX_2146,CUST_7331,2025-07-02,10:22:58,3,Wednesday,False,Warming drinks (tea),400.0,870.0,card,2025-07-02 10:22:58,Morning
TX_3318,CUST_7215,2025-07-02,10:27:10,3,Wednesday,False,Cappuccino,320.0,320.0,card,2025-07-02 10:27:10,Morning
TX_2976,CUST_9133,2025-07-02,11:00:56,3,Wednesday,False,Cappuccino,320.0,790.0,card,2025-07-02 11:00:56,Afternoon
TX_2976,CUST_9133,2025-07-02,11:00:56,3,Wednesday,False,Espresso,230.0,790.0,card,2025-07-02 11:00:56,Afternoon
TX_2976,CUST_9133,2025-07-02,11:00:56,3,Wednesday,False,Batch brew,240.0,790.0,card,2025-07-02 11:00:56,Afternoon
TX_0875,CUST_5315,2025-07-02,11:52:37,3,Wednesday,False,Cappuccino,320.0,320.0,cash,2025-07-02 11:52:37,Afternoon
TX_3210,CUST_2104,2025-07-02,12:25:05,3,Wednesday,False,Cappuccino,320.0,1000.0,card,2025-07-02 12:25:05,Afternoon
TX_3210,CUST_2104,2025-07-02,12:25:05,3,Wednesday,False,Flat white,340.0,1000.0,card,2025-07-02 12:25:05,Afternoon
TX_3210,CUST_2104,2025-07-02,12:25:05,3,Wednesday,False,Flat white,340.0,1000.0,card,2025-07-02 12:25:05,Afternoon
TX_0188,CUST_8899,2025-07-02,12:34:40,3,Wednesday,False,Cappuccino,320.0,320.0,card,2025-07-02 12:34:40,Afternoon
TX_1274,CUST_9905,2025-07-02,12:42:11,3,Wednesday,False,Cappuccino,320.0,320.0,card,2025-07-02 12:42:11,Afternoon
TX_0809,CUST_6810,2025-07-02,12:43:54,3,Wednesday,False,Cappuccino,320.0,320.0,cash,2025-07-02 12:43:54,Afternoon
TX_2509,CUST_7442,2025-07-02,13:01:25,3,Wednesday,False,Batch brew,240.0,480.0,card,2025-07-02 13:01:25,Afternoon
TX_2509,CUST_7442,2025-07-02,13:01:25,3,Wednesday,False,Batch brew,240.0,480.0,card,2025-07-02 13:01:25,Afternoon
TX_3362,CUST_5619,2025-07-02,13:05:19,3,Wednesday,False,Cappuccino,320.0,320.0,cash,2025-07-02 13:05:19,Afternoon
TX_0185,CUST_2780,2025-07-02,13:08:07,3,Wednesday,False,Batch brew,240.0,240.0,card,2025-07-02 13:08:07,Afternoon
TX_0171,CUST_6278,2025-07-02,13:19:31,3,Wednesday,False,Latte,340.0,340.0,card,2025-07-02 13:19:31,Afternoon
TX_1331,CUST_3495,2025-07-02,13:20:41,3,Wednesday,False,Batch brew,240.0,580.0,card,2025-07-02 13:20:41,Afternoon
TX_1331,CUST_3495,2025-07-02,13:20:41,3,Wednesday,False,Latte,340.0,580.0,card,2025-07-02 13:20:41,Afternoon
TX_0593,CUST_6026,2025-07-02,13:30:15,3,Wednesday,False,Warming drinks (tea),400.0,400.0,card,2025-07-02 13:30:15,Afternoon
TX_2940,CUST_1352,2025-07-02,13:31:45,3,Wednesday,False,Latte with add,440.0,440.0,card,2025-07-02 13:31:45,Afternoon
